"Sample","Species","Abundance"
"1","Female","< 1% other taxa",3.77923197889718
"2","Female","Corynebacterium durum",1.07543245573987
"3","Female","Haemophilus parainfluenzae",0.771064779587075
"4","Female","Propionibacterium acnes",13.7777101405164
"5","Female","Staphylococcus aureus",68.9342058540049
"6","Female","Staphylococcus epidermidis",10.4144473190281
"7","Female","Veillonella dispar",1.24790747222645
"8","Male","< 1% other taxa",5.04025372041962
"9","Male","Corynebacterium durum",0.224444986582093
"10","Male","Haemophilus parainfluenzae",4.10100024396194
"11","Male","Propionibacterium acnes",68.5459868260552
"12","Male","Staphylococcus aureus",15.4891436935838
"13","Male","Staphylococcus epidermidis",5.17931202732374
"14","Male","Veillonella dispar",1.41985850207368
