"Sample","Species","Abundance"
"1","Female","< 1% other taxa",5.4973595359709
"2","Female","Propionibacterium acnes",85.0748852913169
"3","Female","Staphylococcus aureus",2.99108302311488
"4","Female","Staphylococcus epidermidis",5.14241191238854
"5","Female","Veillonella dispar",1.2942602372089
"6","Male","< 1% other taxa",3.26534520731591
"7","Male","Propionibacterium acnes",82.8162405439049
"8","Male","Staphylococcus aureus",5.73111174949727
"9","Male","Staphylococcus epidermidis",7.18184429761563
"10","Male","Veillonella dispar",1.00545820166619
