"Sample","Species","Abundance"
"1","Female","< 1% other taxa",3.64195842450766
"2","Female","Haemophilus parainfluenzae",0.579868708971554
"3","Female","Prevotella melaninogenica",0.545678336980306
"4","Female","Propionibacterium acnes",44.890590809628
"5","Female","Rothia mucilaginosa",0.534737417943107
"6","Female","Staphylococcus aureus",43.2590262582057
"7","Female","Staphylococcus epidermidis",5.60722100656455
"8","Female","Veillonella dispar",0.940919037199125
"9","Male","< 1% other taxa",3.71396117570482
"10","Male","Haemophilus parainfluenzae",3.24046303268541
"11","Male","Prevotella melaninogenica",1.13333248248312
"12","Male","Propionibacterium acnes",72.4707413883321
"13","Male","Rothia mucilaginosa",1.0542034127602
"14","Male","Staphylococcus aureus",10.6313733998698
"15","Male","Staphylococcus epidermidis",6.10952994780034
"16","Male","Veillonella dispar",1.64639516036399
